"","COMID","V2COMID","nlaSITE_ID"
"653",24465428,NA,"NLA06608-0650"
"654",24435779,NA,"NLA06608-0906"
"655",120053985,NA,"NLA06608-0581"
"656",23203398,NA,"NLA06608-1989"
"657",23171013,NA,"NLA06608-0277"
"658",23272352,NA,"NLA06608-0837"
"659",120053977,NA,"NLA06608-2250"
"660",24465860,NA,"NLA06608-1930"
"661",23146179,NA,"NLA06608-2954"
"662",23422703,NA,"NLA06608-0933"
"663",24215523,NA,"NLA06608-0881"
"664",23326734,NA,"NLA06608-2005"
"665",23340042,NA,"NLA06608-2453"
"666",120053990,NA,"NLA06608-3157"
"667",120053992,NA,"NLA06608-0597"
"668",120053994,NA,"NLA06608-0085"
"669",24161763,NA,"NLA06608-R10BULLTR"
"670",24181193,NA,"NLA06608-0561"
"671",24189308,NA,"NLA06608-3121"
"672",24197086,NA,"NLA06608-0049"
"673",24215401,NA,"NLA06608-0625"
"674",23440159,NA,"NLA06608-1073"
"675",23491283,NA,"NLA06608-R10YELLOW"
"676",23491387,NA,"NLA06608-0005"
"677",23526951,NA,"NLA06608-R10CAPEHO"
"678",23571671,NA,"NLA06608-1329"
"679",23828651,NA,"NLA06608-2481"
"680",23703965,NA,"NLA06608-0678"
"681",23704083,NA,"NLA06608-R10DEERLA"
"682",23704139,NA,"NLA06608-R10CHARLT"
"683",23704163,NA,"NLA06608-2726"
"684",23828631,NA,"NLA06608-2673"
"685",23703939,NA,"NLA06608-1894"
"686",23727371,NA,"NLA06608-0406"
"687",23740719,NA,"NLA06608-0086"
"688",24245815,NA,"NLA06608-2134"
"689",24252344,NA,"NLA06608-0721"
"690",23748790,NA,"NLA06608-R10COUNCI"
"691",23769069,NA,"NLA06608-1190"
"692",23756364,NA,"NLA06608-1958"
"693",23756252,NA,"NLA06608-1446"
"694",23756298,NA,"NLA06608-0934"
"695",23777303,NA,"NLA06608-1638"
"696",23777335,NA,"NLA06608-0870"
"697",23898212,NA,"NLA06608-0614"
"698",23918169,NA,"NLA06608-0402"
"699",23934034,NA,"NLA06608-2082"
"700",23842132,NA,"NLA06608-0849"
"701",23868618,NA,"NLA06608-2193"
"702",23891818,NA,"NLA06608-0658"
"703",23912359,NA,"NLA06608-2450"
"704",23938565,NA,"NLA06608-R10SQUAWL"
"705",120054011,NA,"NLA06608-1426"
"706",24536618,NA,"NLA06608-0593"
"707",23993361,NA,"NLA06608-0337"
"708",24277183,NA,"NLA06608-0081"
"709",24286248,NA,"NLA06608-1873"
"710",24260721,NA,"NLA06608-0193"
"711",24539662,NA,"NLA06608-0209"
"712",23955051,NA,"NLA06608-3153"
"713",23993761,NA,"NLA06608-1617"
"714",23993899,NA,"NLA06608-2257"
"715",23994197,NA,"NLA06608-1425"
"716",23994287,NA,"NLA06608-2513"
"717",24284092,NA,"NLA06608-1489"
"718",24290126,NA,"NLA06608-R10ULAKE"
"719",24023037,NA,"NLA06608-0306"
"720",24052733,NA,"NLA06608-1266"
"721",120054013,NA,"NLA06608-1445"
"722",24016285,NA,"NLA06608-R10FISHLA"
"723",24068491,NA,"NLA06608-2438"
"724",24079123,NA,"NLA06608-0677"
"725",17866376,NA,"NLA06608-0564"
"726",17843236,NA,"NLA06608-0260"
"727",17825114,NA,"NLA06608-1279"
"728",17834936,NA,"NLA06608-0340"
"729",17833136,NA,"NLA06608-0116"
"730",3219221,NA,"NLA06608-1295"
"731",3219231,NA,"NLA06608-0015"
"732",120052274,NA,"NLA06608-0483"
"733",20814240,NA,"NLA06608-1236"
"734",317465,NA,"NLA06608-1715"
"735",14152626,NA,"NLA06608-0334"
"736",14050895,NA,"NLA06608-0634"
"737",14155584,NA,"NLA06608-0512"
"738",14157416,NA,"NLA06608-1024"
"739",14174711,NA,"NLA06608-0014"
"740",6658571,NA,"NLA06608-1198"
"741",6675304,NA,"NLA06608-1070"
"742",6636346,NA,"NLA06608-0302"
"743",6657651,NA,"NLA06608-0174"
"744",9398414,NA,"NLA06608-0915"
"745",14299961,NA,"NLA06608-0254"
"746",9401350,NA,"NLA06608-0211"
"747",14273984,NA,"NLA06608-0078"
"748",14433167,NA,"NLA06608-0659"
"749",6655519,NA,"NLA06608-1326"
"750",14299227,NA,"NLA06608-1278"
"751",6654751,NA,"NLA06608-0110"
"752",6688525,NA,"NLA06608-0558"
"753",14296155,NA,"NLA06608-0510"
"754",6654439,NA,"NLA06608-1134"
"755",7106317,NA,"NLA06608-0782"
"756",7096101,NA,"NLA06608-1102"
"757",7107653,NA,"NLA06608-0526"
"758",7114173,NA,"NLA06608-1342"
"759",22238100,NA,"NLA06608-0190"
"760",7102457,NA,"NLA06608-1150"
"761",7108791,NA,"NLA06608-1038"
"762",8718197,NA,"NLA06608-0989"
"763",8670893,NA,"NLA06608-0345"
"764",8622955,NA,"NLA06608-R318"
"765",8674019,NA,"NLA06608-R322"
"766",8740513,NA,"NLA06608-0413"
"767",10960658,NA,"NLA06608-1245"
"768",8779579,NA,"NLA06608-0217"
"769",8781643,NA,"NLA06608-1181"
"770",166737717,NA,"NLA06608-0921"
"771",8848273,NA,"NLA06608-0665"
"772",8888764,NA,"NLA06608-0857"
"773",8888892,NA,"NLA06608-1369"
"774",8848311,NA,"NLA06608-1177"
"775",933030013,NA,"NLA06608-1241"
"776",9203425,NA,"NLA06608-0057"
"777",9164556,NA,"NLA06608-0313"
"778",166737840,NA,"NLA06608-0473"
"779",166756284,NA,"NLA06608-0281"
"780",9698077,NA,"NLA06608-1087"
"781",9713843,NA,"NLA06608-1001"
"782",9751274,NA,"NLA06608-1113"
"783",9751288,NA,"NLA06608-0089"
"784",9642039,NA,"NLA06608-0002"
"785",12033697,NA,"NLA06608-0025"
"786",10547402,NA,"NLA06608-0297"
"787",9865506,NA,"NLA06608-0831"
"788",166756413,NA,"NLA06608-0361"
"789",9920464,NA,"NLA06608-0253"
"790",9924530,NA,"NLA06608-0594"
"791",11750287,NA,"NLA06608-0319"
"792",22721231,NA,"NLA06608-1469"
"793",9900875,NA,"NLA06608-0530"
"794",6362514,NA,"NLA06608-1839"
"795",6332938,NA,"NLA06608-0223"
"796",18260133,NA,"NLA06608-FL:18261987"
"797",16661761,NA,"NLA06608-FL:16674741"
"798",10994747,NA,"NLA06608-0069"
"799",16636112,NA,"NLA06608-1733"
"800",16632718,NA,"NLA06608-0453"
"801",166757602,NA,"NLA06608-1861"
"802",10996865,NA,"NLA06608-2629"
"803",10988999,NA,"NLA06608-FL:107895579"
"804",16630838,NA,"NLA06608-1413"
"805",16631074,NA,"NLA06608-0709"
"806",10995321,NA,"NLA06608-0325"
"807",10994803,NA,"NLA06608-1349"
"808",16632086,NA,"NLA06608-2117"
"809",166757656,NA,"NLA06608-3169"
"810",21474080,NA,"NLA06608-2565"
"811",21480292,NA,"NLA06608-1569"
"812",16798939,NA,"NLA06608-1825"
"813",16905639,NA,"NLA06608-0609"
"814",16793645,NA,"NLA06608-2593"
"815",16794081,NA,"NLA06608-0865"
"816",16933868,NA,"NLA06608-1185"
"817",16915600,NA,"NLA06608-0161"
"818",16952318,NA,"NLA06608-2657"
"819",2065290,NA,"NLA06608-1482"
"820",2146549,NA,"NLA06608-0458"
"821",2229435,NA,"NLA06608-FL:99344895"
"822",2229485,NA,"NLA06608-FL:99324403"
"823",10363726,NA,"NLA06608-2074"
"824",3429164,NA,"NLA06608-0207"
"825",6456569,NA,"NLA06608-0815"
"826",6412218,NA,"NLA06608-1039"
"827",2377351,NA,"NLA06608-0618"
"828",2409582,NA,"NLA06608-2154"
"829",15820095,NA,"NLA06608-2831"
"830",6495042,NA,"NLA06608-1711"
"831",22271034,NA,"NLA06608-0395"
"832",22271034,NA,"NLA06608-1323"
"833",22271034,NA,"NLA06608-2091"
"834",21654558,NA,"NLA06608-0651"
"835",22033983,NA,"NLA06608-1871"
"836",6495140,NA,"NLA06608-0591"
"837",166759059,NA,"NLA06608-2955"
"838",18208112,NA,"NLA06608-0283"
"839",18226135,NA,"NLA06608-0843"
"840",18587568,NA,"NLA06608-0459"
"841",166751190,NA,"NLA06608-2187"
"842",166759211,NA,"NLA06608-0203"
"843",18103836,NA,"NLA06608-2010"
"844",18121428,NA,"NLA06608-1114"
"845",18103644,NA,"NLA06608-0986"
"846",19709789,NA,"NLA06608-1791"
"847",14638645,NA,"NLA06608-0324"
"848",19735013,NA,"NLA06608-0191"
"849",166912868,NA,"NLA06608-1668"
"850",166997474,NA,"NLA06608-1348"
"851",19667233,NA,"NLA06608-0751"
"852",19668381,NA,"NLA06608-0943"
"853",19598582,NA,"NLA06608-1044"
"854",19646900,NA,"NLA06608-0239"
"855",19533132,NA,"NLA06608-1364"
"856",19542924,NA,"NLA06608-1220"
"857",11898640,NA,"NLA06608-1812"
"858",5253697,NA,"NLA06608-1224"
"859",8329954,NA,"NLA06608-1735"
"860",5278562,NA,"NLA06608-TX:22"
"861",4451288,NA,"NLA06608-2072"
"862",4451216,NA,"NLA06608-0024"
"863",4452402,NA,"NLA06608-TX:19"
"864",1158647,NA,"NLA06608-1047"
"865",1292492,NA,"NLA06608-1672"
"866",1299536,NA,"NLA06608-1992"
"867",1262131,NA,"NLA06608-3096"
"868",1492358,NA,"NLA06608-3083"
"869",120053024,NA,"NLA06608-2776"
"870",1274448,NA,"NLA06608-1496"
"871",120053021,NA,"NLA06608-0792"
"872",1451159,NA,"NLA06608-0280"
"873",1291638,NA,"NLA06608-0456"
"874",1259469,NA,"NLA06608-2696"
"875",1573494,NA,"NLA06608-2663"
"876",5495396,NA,"NLA06608-2120"
"877",120053204,NA,"NLA06608-2807"
"878",5489185,NA,"NLA06608-3228"
"879",5511834,NA,"NLA06608-0712"
"880",5541638,NA,"NLA06608-0144"
"881",5526841,NA,"NLA06608-TX:15"
"882",5569881,NA,"NLA06608-1623"
"883",2580363,NA,"NLA06608-0023"
"884",5588148,NA,"NLA06608-TX:29"
"885",5569731,NA,"NLA06608-0599"
"886",2567126,NA,"NLA06608-0072"
"887",5713969,NA,"NLA06608-2924"
"888",5740630,NA,"NLA06608-1436"
"889",5756912,NA,"NLA06608-TX:10"
"890",5756912,NA,"NLA06608-TX:14"
"891",5770665,NA,"NLA06608-2759"
"892",120053389,NA,"NLA06608-TX:27"
"893",5725119,NA,"NLA06608-0775"
"894",7840861,NA,"NLA06608-2094"
"895",1629479,NA,"NLA06608-1191"
"896",10840360,NA,"NLA06608-3303"
"897",3169452,NA,"NLA06608-0003"
"898",10622727,NA,"NLA06608-1630"
"899",120052363,NA,"NLA06608-TX:5"
"900",1233765,NA,"NLA06608-1483"
"901",1326633,NA,"NLA06608-0468"
"902",3252989,NA,"NLA06608-0495"
"903",3230263,NA,"NLA06608-1455"
"904",3253029,NA,"NLA06608-0511"
"905",3230751,NA,"NLA06608-0687"
"906",18377442,NA,"NLA06608-0068"
"907",10038700,NA,"NLA06608-1631"
"908",10038730,NA,"NLA06608-2655"
"909",120052281,NA,"NLA06608-0794"
"910",18327306,NA,"NLA06608-1818"
"911",18327314,NA,"NLA06608-0090"
"912",18300278,NA,"NLA06608-2095"
"913",18347649,NA,"NLA06608-1562"
"914",120052683,NA,"NLA06608-0970"
"915",10037210,NA,"NLA06608-1695"
"916",1343650,NA,"NLA06608-0079"
"917",4876219,NA,"NLA06608-1321"
"918",11964585,NA,"NLA06608-2429"
"919",11965847,NA,"NLA06608-2463"
"920",11979229,NA,"NLA06608-1439"
"921",11974889,NA,"NLA06608-0671"
"922",1392171,NA,"NLA06608-1119"
"923",1371518,NA,"NLA06608-0927"
"924",4877627,NA,"NLA06608-2345"
"925",11974911,NA,"NLA06608-1183"
"926",11964599,NA,"NLA06608-0637"
"927",4899771,NA,"NLA06608-0169"
"928",1408811,NA,"NLA06608-2372"
"929",1408815,NA,"NLA06608-0132"
"930",120053831,NA,"NLA06608-1284"
"931",3262179,NA,"NLA06608-0004"
"932",4855943,NA,"NLA06608-0771"
"933",1099282,NA,"NLA06608-1447"
"934",2354274,NA,"NLA06608-0167"
"935",22328583,NA,"NLA06608-MN:15-0010"
"936",22325301,NA,"NLA06608-ELS:2D3-008"
"937",4251590,NA,"NLA06608-0215"
"938",2722007,NA,"NLA06608-0743"
"939",4618580,NA,"NLA06608-MN:11-0102"
"940",4818363,NA,"NLA06608-0942"
"941",4831078,NA,"NLA06608-0958"
"942",4939993,NA,"NLA06608-MN:03-0029"
"943",4959624,NA,"NLA06608-0878"
"944",4971593,NA,"NLA06608-MN:49-0140"
"945",4620890,NA,"NLA06608-0238"
"946",4966619,NA,"NLA06608-1390"
"947",167122195,NA,"NLA06608-1175"
"948",4251924,NA,"NLA06608-0551"
"949",4971697,NA,"NLA06608-MN:77-0019"
"950",4619272,NA,"NLA06608-0494"
"951",4857807,NA,"NLA06608-0990"
"952",167122137,NA,"NLA06608-0403"
"953",4943477,NA,"NLA06608-0366"
"954",4251634,NA,"NLA06608-1239"
"955",4941873,NA,"NLA06608-1262"
"956",1101812,NA,"NLA06608-0679"
"957",4966723,NA,"NLA06608-0622"
"958",4068930,NA,"NLA06608-2007"
"959",4412870,NA,"NLA06608-1454"
"960",4098951,NA,"NLA06608-MN:56-0306"
"961",4122194,NA,"NLA06608-MN:87-0030"
"962",10595596,NA,"NLA06608-0279"
"963",4104103,NA,"NLA06608-0871"
"964",4104123,NA,"NLA06608-MN:06-0002"
"965",4415506,NA,"NLA06608-1383"
"966",167122203,NA,"NLA06608-0359"
"967",4101793,NA,"NLA06608-MN:75-0200"
"968",4123850,NA,"NLA06608-1111"
"969",4412420,NA,"NLA06608-0686"
"970",10597314,NA,"NLA06608-MN:22-0074"
"971",2385648,NA,"NLA06608-0935"
"972",4111026,NA,"NLA06608-1367"
"973",4111198,NA,"NLA06608-2135"
"974",4415076,NA,"NLA06608-MN:61-0037"
"975",4110960,NA,"NLA06608-0343"
"976",1849431,NA,"NLA06608-0926"
"977",2644338,NA,"NLA06608-0823"
"978",1849933,NA,"NLA06608-0414"
"979",2639424,NA,"NLA06608-1283"
"980",2266861,NA,"NLA06608-1143"
"981",2647022,NA,"NLA06608-1207"
"982",2646860,NA,"NLA06608-0183"
"983",2034063,NA,"NLA06608-MN:74-0023"
"984",2032039,NA,"NLA06608-1303"
"985",13344284,NA,"NLA06608-1166"
"986",13349304,NA,"NLA06608-0606"
"987",13345560,NA,"NLA06608-0862"
"988",13102701,NA,"NLA06608-0435"
"989",12991497,NA,"NLA06608-0350"
"990",13343628,NA,"NLA06608-ELS:2C3-018"
"991",13121060,NA,"NLA06608-0158"
"992",13080617,NA,"NLA06608-0007"
"993",13393687,NA,"NLA06608-0590"
"994",167120870,NA,"NLA06608-0142"
"995",13394473,NA,"NLA06608-0846"
"996",13393373,NA,"NLA06608-0654"
"997",13391389,NA,"NLA06608-0462"
"998",14726340,NA,"NLA06608-1075"
"999",14704062,NA,"NLA06608-0547"
"1000",6565659,NA,"NLA06608-1223"
"1001",22471471,NA,"NLA06608-R715"
"1002",6978322,NA,"NLA06608-1544"
"1003",17539867,NA,"NLA06608-1884"
"1004",6995221,NA,"NLA06608-1268"
"1005",22473973,NA,"NLA06608-R716"
"1006",17539821,NA,"NLA06608-0860"
"1007",6961999,NA,"NLA06608-1532"
"1008",13290898,NA,"NLA06608-0099"
"1009",13290744,NA,"NLA06608-WI:LOWES"
"1010",13296360,NA,"NLA06608-0611"
"1011",6586741,NA,"NLA06608-1527"
"1012",6586831,NA,"NLA06608-1015"
"1013",22250049,NA,"NLA06608-0008"
"1014",6579638,NA,"NLA06608-MN:51-0063"
"1015",6605736,NA,"NLA06608-0968"
"1016",6606432,NA,"NLA06608-1736"
"1017",22249917,NA,"NLA06608-2036"
"1018",167120998,NA,"NLA06608-0759"
"1019",22249857,NA,"NLA06608-2056"
"1020",6586783,NA,"NLA06608-1035"
"1021",879024,NA,"NLA06608-1936"
"1022",120051942,NA,"NLA06608-1232"
"1023",14767802,NA,"NLA06608-0859"
"1024",13430459,NA,"NLA06608-2987"
"1025",13435523,NA,"NLA06608-0091"
"1026",14770012,NA,"NLA06608-1179"
"1027",13432623,NA,"NLA06608-1195"
"1028",13432809,NA,"NLA06608-0587"
"1029",14769830,NA,"NLA06608-0155"
"1030",13432745,NA,"NLA06608-2219"
"1031",14770206,NA,"NLA06608-1435"
"1032",13604166,NA,"NLA06608-1724"
"1033",3624629,NA,"NLA06608-0672"
"1034",13882044,NA,"NLA06608-1840"
"1035",167157020,NA,"NLA06608-0480"
"1036",4636987,NA,"NLA06608-1376"
"1037",4637251,NA,"NLA06608-R767"
"1038",5053013,NA,"NLA06608-1312"
"1039",5077156,NA,"NLA06608-1056"
"1040",3626391,NA,"NLA06608-R775"
"1041",167122266,NA,"NLA06608-0112"
"1042",13772428,NA,"NLA06608-0624"
"1043",9301937,NA,"NLA06608-0833"
"1044",9301511,NA,"NLA06608-0001"
"1045",3060526,NA,"NLA06608-1674"
"1046",4222164,NA,"NLA06608-1377"
"1047",4167440,NA,"NLA06608-1633"
"1048",120051950,NA,"NLA06608-2874"
"1049",12537926,NA,"NLA06608-0385"
"1050",12398110,NA,"NLA06608-0225"
"1051",12537604,NA,"NLA06608-1344"
"1052",12394516,NA,"NLA06608-2800"
"1053",12394688,NA,"NLA06608-0378"
"1054",12744019,NA,"NLA06608-1008"
"1055",12437115,NA,"NLA06608-2170"
"1056",12736804,NA,"NLA06608-1002"
"1057",12388102,NA,"NLA06608-2426"
"1058",12337192,NA,"NLA06608-0064"
"1059",12473810,NA,"NLA06608-1856"
"1060",12531918,NA,"NLA06608-1600"
"1061",12326793,NA,"NLA06608-0944"
"1062",12295038,NA,"NLA06608-1968"
"1063",12520363,NA,"NLA06608-0496"
"1064",12471702,NA,"NLA06608-0128"
"1065",167204935,NA,"NLA06608-0240"
"1066",12523567,NA,"NLA06608-1510"
"1067",4268256,NA,"NLA06608-0842"
"1068",4268336,NA,"NLA06608-2634"
"1069",4338328,NA,"NLA06608-1338"
"1070",7185466,NA,"NLA06608-1610"
"1071",4262494,NA,"NLA06608-0570"
"1072",4268384,NA,"NLA06608-1866"
"1073",167204997,NA,"NLA06608-1354"
"1074",12869679,NA,"NLA06608-0950"
"1075",12898390,NA,"NLA06608-1270"
"1076",9589302,NA,"NLA06608-2266"
"1077",5378824,NA,"NLA06608-0042"
"1078",940090008,NA,"NLA06608-0922"
"1079",13251383,NA,"NLA06608-1462"
"1080",21527494,NA,"NLA06608-0384"
"1081",21535130,NA,"NLA06608-0442"
"1082",9793550,NA,"NLA06608-1578"
"1083",21532134,NA,"NLA06608-0222"
"1084",21541462,NA,"NLA06608-1210"
"1085",14395602,NA,"NLA06608-0979"
"1086",9386655,NA,"NLA06608-2714"
"1087",19242135,NA,"NLA06608-0755"
"1088",14680610,NA,"NLA06608-1155"
"1089",14684284,NA,"NLA06608-1091"
"1090",14517787,NA,"NLA06608-0762"
"1091",14745448,NA,"NLA06608-0275"
"1092",14747730,NA,"NLA06608-0083"
"1093",14745896,NA,"NLA06608-0339"
"1094",14746192,NA,"NLA06608-0531"
"1095",14489102,NA,"NLA06608-0243"
"1096",14679012,NA,"NLA06608-0062"
"1097",14747988,NA,"NLA06608-2131"
"1098",14748020,NA,"NLA06608-1107"
"1099",14748136,NA,"NLA06608-1811"
"1100",14748264,NA,"NLA06608-0595"
"1101",14683236,NA,"NLA06608-0707"
"1102",14684286,NA,"NLA06608-0899"
"1103",19250367,NA,"NLA06608-2103"
"1104",16211916,NA,"NLA06608-0718"
"1105",14748556,NA,"NLA06608-0851"
"1106",14665971,NA,"NLA06608-0019"
"1107",14683488,NA,"NLA06608-0579"
"1108",14680710,NA,"NLA06608-1219"
"1109",14678246,NA,"NLA06608-1006"
"1110",16123197,NA,"NLA06608-0179"
"1111",11547080,NA,"NLA06608-0967"
"1112",16041236,NA,"NLA06608-0044"
"1113",16031138,NA,"NLA06608-1244"
"1114",16031186,NA,"NLA06608-0924"
"1115",16068089,NA,"NLA06608-R784"
"1116",16031228,NA,"NLA06608-0220"
"1117",11644763,NA,"NLA06608-1096"
"1118",16031172,NA,"NLA06608-1948"
"1119",16054724,NA,"NLA06608-1836"
"1120",16031178,NA,"NLA06608-R7101"
"1121",16031074,NA,"NLA06608-3484"
"1122",16051036,NA,"NLA06608-0723"
"1123",16031128,NA,"NLA06608-R7103"
"1124",16031162,NA,"NLA06608-R788"
"1125",16031188,NA,"NLA06608-R7104"
"1126",12665890,NA,"NLA06608-0779"
"1127",11592751,NA,"NLA06608-2087"
"1128",11600197,NA,"NLA06608-1319"
"1129",11440387,NA,"NLA06608-0515"
"1130",11473406,NA,"NLA06608-1959"
"1131",11473474,NA,"NLA06608-1511"
"1132",11599461,NA,"NLA06608-0295"
"1133",11599517,NA,"NLA06608-1575"
"1134",11600557,NA,"NLA06608-0407"
"1135",11594331,NA,"NLA06608-0471"
"1136",11453012,NA,"NLA06608-0766"
"1137",11501264,NA,"NLA06608-0195"
"1138",11497138,NA,"NLA06608-1022"
"1139",11495002,NA,"NLA06608-0830"
"1140",11496390,NA,"NLA06608-0126"
"1141",12555114,NA,"NLA06608-1255"
"1142",12571612,NA,"NLA06608-1086"
"1143",11439041,NA,"NLA06608-0259"
"1144",12968504,NA,"NLA06608-1719"
"1145",12552524,NA,"NLA06608-1655"
"1146",11594347,NA,"NLA06608-0807"
"1147",12968956,NA,"NLA06608-0439"
"1148",11591851,NA,"NLA06608-0727"
"1149",12694806,NA,"NLA06608-1703"
"1150",16012574,NA,"NLA06608-0503"
"1151",7221648,NA,"NLA06608-0247"
"1152",2483666,NA,"NLA06608-0663"
"1153",2487240,NA,"NLA06608-2123"
"1154",9371574,NA,"NLA06608-1687"
"1155",167800861,NA,"NLA06608-1879"
"1156",7221456,NA,"NLA06608-0523"
